Timestamp,,Age ,Gender,District,Profession / Occupation,Average Monthly Household income (in LKR),Type of Premises,Average Monthly Electricity Bill (in LKR),Average Monthly Electricity Usage (in Units),Which time period do you use electricity the most?,Which devices consume the most electricity at your premises?,Have you installed a solar power system at your premises?,In which year did you install the solar panel system?,What were your main reasons for switching to solar power?,What was your initial investment for the solar power system? (in LKR),"On a scale of 1 to 5, how satisfied are you with your solar power system?",How did your monthly electricity bill change after switching to solar?,Would you recommend solar power to others?,What are your main reasons for not switching to solar power yet?,Are you considering switching to solar power system in the future?,What would encourage you to switch to solar power system ?,Any other comments or suggestions about solar energy in Sri Lanka?
2025/07/30 10:23:23 PM GMT+5:30,,18-25,Male,Gampaha,Intern software engineer ,"150,000-250,000",Household,"Less than 2,000",61 - 90,Night (7 PM -11 PM),Refrigerator;Wachine Machine,Yes,2022,To reduce electricity costs;Long-term investment,"More than 500,000",5,Decreased significantly,Yes,,,,
2025/07/30 10:32:59 PM GMT+5:30,,18-25,Male,Gampaha,Self-employed ,"More than 350,000",Both,"More than 10,000",More than 180,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Machinery,No,,,,,,,High installation cost,"Yes, within the next year",Better guarantees/warranties,
2025/07/30 11:00:09 PM GMT+5:30,,18-25,Female,Gampaha,Student,"Less than 150,000",Both,"Less than 2,000",Less than 30,Night (7 PM -11 PM),Refrigerator,No,,,,,,,High installation cost,Maybe in 2–3 years,More awareness campaigns,
2025/07/30 11:26:53 PM GMT+5:30,,51+,Male,Colombo,Business ,"150,000-250,000",Household,"More than 10,000",91 -120,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM),"Air Condittioner;Refrigerator;Offset, Printing Machines",No,,,,,,,High installation cost;Not a priority,No plans currently,Government subsidies;Lower product prices;Better guarantees/warranties,
2025/07/31 12:10:52 AM GMT+5:30,,26-35,Male,Gampaha,Engineer,"250,000-350,000",Household,"2,001 - 5,000",61 - 90,Evening (3 PM - 7 PM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Wachine Machine;Microwave / Oven;Desktop Computers,Yes,Before 2022,To reduce electricity costs;Power cuts and reliability,"200,000 - 500,000",4,Decreased slightly,Yes,,,,
2025/07/31 12:13:53 AM GMT+5:30,,26-35,Female,Colombo,Lecturer,"150,000-250,000",Household,"2,001 - 5,000",61 - 90,Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine,Yes,2024,To reduce electricity costs,"More than 500,000",4,Decreased slightly,Yes,,,,
2025/07/31 8:05:25 AM GMT+5:30,,51+,Male,Gampaha,Senior production supervisor ,"Less than 150,000",Household,"2,001 - 5,000",30 - 60,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;Microwave / Oven;Desktop Computers,No,,,,,,,High installation cost,No plans currently,Lower product prices,
2025/07/31 8:52:10 AM GMT+5:30,,18-25,Male,Gampaha,Student ,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Wachine Machine;Microwave / Oven;Desktop Computers;TVs,No,,,,,,,High installation cost,"Yes, within the next year",Lower product prices;More awareness campaigns;Better guarantees/warranties,Government should offer the people to install solar system to the people and encourage them to install it. 
2025/07/31 10:37:44 AM GMT+5:30,,26-35,Female,Gampaha,Teacher ,"Less than 150,000",Household,"5,001 - 10,000",91 -120,Early Morning (5 AM - 9 AM),Refrigerator;Wachine Machine,No,,,,,,,High installation cost,No plans currently,Government subsidies,
2025/07/31 12:28:57 PM GMT+5:30,,51+,Female,Colombo,Beautician ,"150,000-250,000",Household,"More than 10,000",61 - 90,Night (7 PM -11 PM),Refrigerator;Water Heater;Wachine Machine,No,,,,,,,High installation cost,No plans currently,Government subsidies;Lower product prices,Has a good potential for Sri Lanka economy growth
2025/07/31 12:54:32 PM GMT+5:30,,36-50,Female,Gampaha,House wife,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Night (7 PM -11 PM),Refrigerator;Water Heater;Wachine Machine,No,,,,,,,Lack of knowledge,No plans currently,Recommendations from others,The government should intervene and deal with it.
2025/07/31 2:29:33 PM GMT+5:30,,36-50,Male,Gampaha,Senior HR Manager,"More than 350,000",Household,"5,001 - 10,000",More than 180,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator,Yes,2024,Long-term investment,"More than 500,000",5,Decreased significantly,Yes,,,,
2025/07/31 5:27:18 PM GMT+5:30,,18-25,Male,Colombo,Student,Prefer not to say,Household,"Less than 2,000",More than 180,Evening (3 PM - 7 PM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;EV charging,Yes,Before 2022,To reduce electricity costs;Power cuts and reliability,"More than 500,000",4,Decreased significantly,Maybe,,,,
2025/08/01 7:26:32 AM GMT+5:30,,18-25,Male,Colombo,Executive collection ,Prefer not to say,Household,"5,001 - 10,000",30 - 60,Night (7 PM -11 PM),Air Condittioner;Refrigerator;Wachine Machine;TVs,No,,,,,,,Already using ,No plans currently,Recommendations from others,No
2025/08/01 8:40:17 PM GMT+5:30,,18-25,Male,Gampaha,Student,Prefer not to say,Household,"Less than 2,000",91 -120,Night (7 PM -11 PM),Water Heater;Microwave / Oven,Yes,2024,To reduce electricity costs;Long-term investment,"More than 500,000",5,Decreased significantly,Yes,,,,Hayleys Solar is the best.
2025/08/04 12:01:31 PM GMT+5:30,,36-50,Male,Gampaha,Government job,"150,000-250,000",Household,"5,001 - 10,000",121 - 180,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Refrigerator;Water Heater;Wachine Machine;Desktop Computers;TVs,Yes,2024,To reduce electricity costs;Environmental concern,"200,000 - 500,000",5,Decreased significantly,Yes,,,,
2025/09/02 5:05:12 PM GMT+5:30,,51+,Male,Gampaha,Technical Officer,"250,000-350,000",Household,"More than 10,000",121 - 180,Night (7 PM -11 PM),Refrigerator;Water Heater,No,,,,,,,Not a priority,Maybe in 2–3 years,Government subsidies,
2025/09/02 5:05:34 PM GMT+5:30,,26-35,Female,Colombo,TEACHER,"Less than 150,000",Household,"Less than 2,000",30 - 60,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Refrigerator;Water Heater;Wachine Machine;TVs,No,,,,,,,No space for solar panels,No plans currently,Recommendations from others,
2025/09/02 5:21:03 PM GMT+5:30,,18-25,Male,Colombo,Accounting associate ,"Less than 150,000",Household,"2,001 - 5,000",61 - 90,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost;Lack of knowledge;Uncertainty about performance,Maybe in 2–3 years,Lower product prices;Better guarantees/warranties;Recommendations from others,
2025/09/02 5:29:08 PM GMT+5:30,,18-25,Male,Colombo,Student,"Less than 150,000",Household,"2,001 - 5,000",30 - 60,Night (7 PM -11 PM),Desktop Computers,No,,,,,,,High installation cost,Maybe in 2–3 years,Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties,
2025/09/02 5:30:30 PM GMT+5:30,,51+,Female,Gampaha,Banker,"250,000-350,000",Household,"More than 10,000",121 - 180,Night (7 PM -11 PM),Refrigerator;Water Heater;Wachine Machine,No,,,,,,,Not a priority,Maybe in 2–3 years,More awareness campaigns;Better guarantees/warranties,
2025/09/02 6:20:06 PM GMT+5:30,,26-35,Male,Colombo,Designer ,"Less than 150,000",Household,"5,001 - 10,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Refrigerator;Water Heater;Wachine Machine;TVs,No,,,,,,,High installation cost,No plans currently,Lower product prices;Better guarantees/warranties,Heard that the per unit earnings (income) are low at the moment.
2025/09/02 6:33:43 PM GMT+5:30,,51+,Male,Gampaha,Retired Crain operator,"Less than 150,000",Household,"2,001 - 5,000",30 - 60,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Water Heater;TVs,No,,,,,,,Not a priority,No plans currently,More awareness campaigns,
2025/09/02 7:00:07 PM GMT+5:30,,18-25,Male,Colombo,Engineer,"Less than 150,000",Household,"2,001 - 5,000",30 - 60,Night (7 PM -11 PM),Refrigerator;TVs,Yes,2022,To reduce electricity costs,"Less than 200,000",5,Decreased significantly,Yes,,,,
2025/09/02 7:16:11 PM GMT+5:30,,18-25,Male,Colombo,Occupation ,"Less than 150,000",Household,"2,001 - 5,000",30 - 60,Daytime (9 AM - 3 PM),Refrigerator,No,,,,,,,High installation cost,No plans currently,Government subsidies,Most important 
2025/09/02 9:05:21 PM GMT+5:30,,18-25,Female,Colombo,Student ,"250,000-350,000",Household,"2,001 - 5,000",61 - 90,Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Water Heater;TVs,No,,,,,,,Lack of knowledge;Uncertainty about performance;Not a priority,No plans currently,More awareness campaigns;Recommendations from others,
2025/09/02 9:53:27 PM GMT+5:30,,36-50,Male,Colombo,Accountant,"150,000-250,000",Household,"5,001 - 10,000",121 - 180,Early Morning (5 AM - 9 AM);Evening (3 PM - 7 PM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Microwave / Oven;Desktop Computers;TVs,No,,,,,,,High installation cost;Not a priority,"Yes, within the next year",Government subsidies;Recommendations from others,
2025/09/02 11:25:11 PM GMT+5:30,,18-25,Male,Colombo,University student,"150,000-250,000",Household,"5,001 - 10,000",121 - 180,Daytime (9 AM - 3 PM),Refrigerator;Water Heater;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost,No plans currently,Lower product prices,
2025/09/03 6:20:53 AM GMT+5:30,,26-35,Male,Colombo,Engineer ,Prefer not to say,Household,"5,001 - 10,000",More than 180,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Wachine Machine,Yes,2024,To reduce electricity costs;Long-term investment,"More than 500,000",5,Decreased significantly,Maybe,,,,
2025/09/03 9:33:08 AM GMT+5:30,,18-25,Male,Colombo,Student ,"Less than 150,000",Household,"2,001 - 5,000",61 - 90,Night (7 PM -11 PM),Water Heater;Wachine Machine,No,,,,,,,High installation cost,Maybe in 2–3 years,Better guarantees/warranties;Recommendations from others,"If provided at a reasonable and affordable price, low-income families are more likely to resort to this."
2025/09/03 11:36:16 AM GMT+5:30,,18-25,Female,Colombo,Optometrist ,Prefer not to say,Household,"2,001 - 5,000",91 -120,Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater,No,,,,,,,High installation cost;Uncertainty about performance,No plans currently,Lower product prices;Better guarantees/warranties,
2025/09/03 3:23:55 PM GMT+5:30,,26-35,Female,Colombo,UI Engineer,"Less than 150,000",Household,"2,001 - 5,000",121 - 180,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Wachine Machine;Microwave / Oven;Desktop Computers;TVs;Laptop,Yes,2022,To reduce electricity costs;Environmental concern,"More than 500,000",5,No change,Yes,,,,No
2025/09/03 4:45:31 PM GMT+5:30,,51+,Male,Colombo,Manger,"Less than 150,000",Both,"Less than 2,000",30 - 60,Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;TVs,Yes,2022,To reduce electricity costs;Long-term investment,"200,000 - 500,000",5,Decreased significantly,Maybe,,,,Give low-cost loans for solar.
